Individual,Species,Population,Site,Loc,Depth,V1,V2,V3,V4,V5,V6,Clusters,Q.Clust1,Q.Clust2,Q.Clust3,Q.Clust4,Q.Clust5,Q.Clust6
KP0618_LM_SB20,LM,LM_SB20,SB20,SB,20,-50.6926923,-8.819683,-0.7868267,0.915986317,11.19130773,-0.020877299,5,1e-05,0.040651,1e-05,1e-05,0.959309,1e-05
KP0620_LM_SB20,LM,LM_SB20,SB20,SB,20,-51.6214132,-9.109852,0.21719399,-0.271449669,-4.610781602,-0.054018186,2,1e-05,0.87017,1e-05,1e-05,0.12979,1e-05
KP0625_AC_SB20,AC,AC_SB20,SB20,SB,20,16.0549284,-10.570218,1.02676402,0.14627225,-0.051993015,-0.002470933,1,0.989202,1e-05,1e-05,0.010758,1e-05,1e-05
KP0626_AC_SB20,AC,AC_SB20,SB20,SB,20,14.3329694,-9.851753,0.66142081,0.024747842,0.113374428,0.337381014,1,0.886708,1e-05,1e-05,0.113252,1e-05,1e-05
KP0629_LM_SB20,LM,LM_SB20,SB20,SB,20,-51.6169935,-9.074766,0.33776868,-0.578835669,-5.304234909,-0.017560301,2,1e-05,0.99995,1e-05,1e-05,1e-05,1e-05
KP0631_LM_SB20,LM,LM_SB20,SB20,SB,20,-44.0626579,-3.539262,0.5362201,0.146666321,-4.890338569,-0.462630128,2,1e-05,0.920482,0.079473,1e-05,1e-05,1.5e-05
KP0634_LM_SB20,LM,LM_SB20,SB20,SB,20,-50.1257955,-9.007166,0.32918668,-0.605926727,-6.97608629,0.155716287,2,1e-05,0.999937,1e-05,1e-05,1.4e-05,1.9e-05
KP0636_AC_SB20,AC,AC_SB20,SB20,SB,20,13.9508558,-9.213676,0.10343797,0.137873269,-0.068446604,0.237939216,1,0.942194,1e-05,1e-05,0.057766,1e-05,1e-05
KP0638_AC_SB20,AC,AC_SB20,SB20,SB,20,12.5831133,-8.373378,1.37325317,-0.110855218,0.197336298,0.316371068,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0639_LM_SB20,LM,LM_SB20,SB20,SB,20,1.1900353,36.936027,0.83143719,4.747343488,-0.303450018,-2.212840271,3,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05
KP0640_AC_SB20,AC,AC_SB20,SB20,SB,20,16.5105069,-10.485385,1.00110516,-0.259256447,-0.046717042,0.17345268,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0643_AC_SB20,AC,AC_SB20,SB20,SB,20,14.8759226,-10.070844,1.26566728,-0.087714423,0.25956161,0.107627662,1,0.872954,1e-05,1e-05,0.127006,1e-05,1e-05
KP0645_AC_SB20,AC,AC_SB20,SB20,SB,20,16.2924974,-10.382544,0.5076838,0.011796819,0.073721876,0.053870028,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0646_AC_SB20,AC,AC_SB20,SB20,SB,20,16.5052104,-10.662818,0.8489609,0.102727991,0.008761578,0.070054447,1,0.970054,1e-05,1e-05,0.029906,1e-05,1e-05
KP0647_AC_SB20,AC,AC_SB20,SB20,SB,20,16.5145631,-10.716382,0.27598372,0.069025147,-0.016247945,0.015254871,1,0.925704,1e-05,1e-05,0.074256,1e-05,1e-05
KP0648_AC_SB20,AC,AC_SB20,SB20,SB,20,14.2771098,-9.745815,0.96794818,-0.26188957,-0.097420459,0.181508229,1,0.921286,1e-05,1e-05,0.078671,1e-05,1.3e-05
KP0649_AC_SB20,AC,AC_SB20,SB20,SB,20,16.594079,-10.719679,1.33713551,-0.283653407,0.039223442,0.104708518,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0650_LM_SB20,LM,LM_SB20,SB20,SB,20,-50.8097941,-9.072279,0.14717931,-0.47752045,-4.842949207,0.292711868,2,1e-05,0.92109,1e-05,1e-05,0.07886,1.9e-05
KP0652_AC_SB20,AC,AC_SB20,SB20,SB,20,16.0377541,-10.533888,1.30941061,-0.123865502,-0.027660699,0.167352935,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0654_AC_SB20,AC,AC_SB20,SB20,SB,20,12.5430363,-8.185621,0.92443163,-0.184925581,-0.383452031,0.01078771,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0655_UN_SB20,UN,UN_SB20,SB20,SB,20,-46.3819443,-8.21785,0.55209995,-0.324347992,-5.974956476,-0.28064243,2,1e-05,0.99995,1e-05,1e-05,1e-05,1e-05
KP0657_LM_SB20,LM,LM_SB20,SB20,SB,20,-51.8189199,-9.272951,0.7107446,-0.569173684,-5.453471739,0.116285761,2,1e-05,0.99995,1e-05,1e-05,1e-05,1e-05
KP0660_AC_SB20,AC,AC_SB20,SB20,SB,20,16.7682848,-10.844118,1.46664552,-0.157437243,-0.004708579,0.014424645,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0661_AC_SB20,AC,AC_SB20,SB20,SB,20,16.5148302,-10.384687,1.29451574,-0.079666357,0.015285694,0.197753286,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0662_AC_SB20,AC,AC_SB20,SB20,SB,20,16.4824704,-10.58447,0.92722444,0.185451296,0.168676357,-0.144304688,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0664_LM_SB20,LM,LM_SB20,SB20,SB,20,-50.2477324,-8.782768,-0.4162259,0.797348372,10.98777909,-0.093390967,5,1e-05,1e-05,1e-05,1e-05,0.99995,1e-05
KP0665_AC_SB20,AC,AC_SB20,SB20,SB,20,15.6076805,-10.005144,1.0712647,-0.270638416,0.11300169,0.04419828,1,0.934623,1e-05,1e-05,0.065333,1e-05,1.4e-05
KP0666_LM_SB20,LM,LM_SB20,SB20,SB,20,-46.6434251,-7.841384,-0.56850722,0.948786759,11.32706685,-0.173421834,5,1e-05,0.058554,1e-05,1e-05,0.941403,1.2e-05
KP0667_AC_SB20,AC,AC_SB20,SB20,SB,20,16.3197115,-10.751994,0.97325294,-0.035254923,0.032942127,0.058874594,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0668_AC_SB20,AC,AC_SB20,SB20,SB,20,16.2655552,-10.533841,1.21150966,-0.151326862,-0.047766751,0.139209446,1,0.999949,1e-05,1e-05,1e-05,1e-05,1.1e-05
KP0669_AC_SB20,AC,AC_SB20,SB20,SB,20,15.7876297,-10.423943,0.21402781,-0.155308125,-0.30350148,-0.024054086,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0670_LM_SB20,LM,LM_SB20,SB20,SB,20,-50.6497111,-8.989725,0.15220571,0.12519838,1.432173285,0.077416389,5,1e-05,0.401614,1e-05,1e-05,0.598346,1e-05
