	x	y	z
KP0889_LM_WP10	12.98561222	-1.289831216	-3.278806976
KP0891_AC_WP10	13.14080875	-1.307285626	-3.366505675
KP0893_LM_WP10	12.64521812	-1.389621002	-2.863778443
KP0895_AC_WP10	12.74981914	-1.470369763	-2.922200406
KP0897_AC_WP10_X	12.90727053	-0.997601034	-2.663207882
KP0899_HU_WP10	12.74084694	-0.717341788	-2.086009319
KP0901_HU_WP10_X	13.08173905	-0.625912483	-2.123136998
KP0903_HU_WP10	12.97490627	-0.456510618	-2.143293754
KP0905_LM_WP10_X	13.48957994	-1.083007328	-2.95478337
KP0287_LM_WP20	-12.46037826	0.428617303	-1.647223958
KP0288_LM_WP20	-12.57384079	0.349343201	-1.810148576
KP0289_AC_WP20	-12.74316872	0.374238632	-1.701391497
KP0290_LM_WP20	-12.93527969	0.611204446	-1.78039056
KP0291_AC_WP20	-13.10069629	0.339160094	-1.733752701
KP0292_AC_WP20	-13.12454308	0.173770468	-1.414034808
KP0293_LM_WP20	-13.73928046	-0.675200782	-2.013911029
KP0294_AC_WP20	-14.50319723	-0.481231283	-1.866077615
KP0295_AC_WP20	-14.55056679	-0.677647641	-1.614777429
KP0296_AC_WP20	-14.89873348	-0.663468969	-1.494354727
KP0297_AC_WP20	-14.92893852	-0.552363097	-1.514821512
KP0298_AC_WP20	-14.92431634	-0.389697199	-1.74751119
KP0299_AC_WP20	-15.02469284	-0.642210883	-1.542159775
KP0300_AC_WP20	-15.07603592	-0.596930069	-1.605502705
KP0301_AC_WP20	-15.05659205	-0.321733142	-1.687232048
KP0302_AC_WP20	-15.22167287	-0.452450348	-1.855482933
KP0303_AC_WP20	-15.24432962	-0.320654218	-1.692319826
KP0304_AC_WP20	-15.296249	-0.389071689	-1.663624306
KP0305_AC_WP20	-17.34154465	0.896111664	-0.422097635
KP0306_LM_WP20	-17.66086256	-0.665079404	-1.660753952
KP0307_LM_WP20_X	-16.90809181	-1.301596439	-1.735224242
KP0308_LM_WP20_X	-16.6493519	-1.195030508	-1.782691487
KP0309_AC_WP20	-16.03087872	-1.127734772	-1.558613571
KP0310_AC_WP20	-15.84679119	-1.200974263	-1.336253706
KP0311_AC_WP20	-15.63502536	-1.211589072	-1.390109893
KP0312_AC_WP20	-15.73889973	-1.301185579	-1.397354059
KP0313_AC_WP20	-15.73703076	-1.421109126	-1.39915024
KP0314_AC_WP20_X	-14.9946962	-0.76154597	-1.751600986
KP0315_AC_WP20	-14.33558659	-0.925696238	-1.847563202
KP0316_AC_WP20	-14.31649992	-0.860506909	-1.902222189
KP0317_AC_WP20	-14.37941406	-0.808666566	-1.958872795
KP0318_LM_WP20	-13.96496241	-0.596139042	-2.111237775
KP0319_LM_WP20	-13.18381595	-0.918029885	-2.1485542
KP0320_LM_WP20	-13.04909865	-0.911157651	-2.157014898
KP0321_LM_WP20	-12.85909691	-0.906475043	-1.786207755
KP0322_LM_WP20	-12.34016071	-0.085484923	-1.918080148
KP0323_AC_WP20	-8.066767565	1.077007525	-0.373331242
KP0324_AC_WP20	-8.029065808	1.144742783	-0.335654018
KP0325_AC_WP20	-8.225473923	1.51652942	-0.383008803
KP0326_AC_WP20	-8.306833892	1.772515032	-0.2751371
KP0327_AC_WP20	-8.196550626	1.277483458	-0.48596657
KP0328_LM_WP20	-8.468936297	1.844984035	-0.64373883
KP0329_AC_WP20	-8.631451603	1.878263787	-0.680795377
KP0330_LM_WP20	-8.816268364	1.507963472	-0.84502161
KP0331_AC_WP20	-8.788522734	1.090839293	-1.106038251
KP0332_AC_WP20	-8.923020557	1.087832752	-1.012559351
KP0333_AC_WP20	-8.978158118	1.047137965	-0.961624099
KP0334_AC_WP20	-8.961349142	0.967357853	-1.048441516
KP0335_AC_WP20	-9.174526549	1.379993009	-0.629783557
KP0336_AC_WP20	-9.20188231	1.447194954	-0.632358119
KP0337_AC_WP20	-9.307668068	1.422297075	-0.657018718
KP0338_AC_WP20	-9.416365495	1.198532337	-0.69465582
KP0339_AC_WP20	-9.404277837	1.168656289	-0.985037176
KP0340_AC_WP20	-9.398763854	1.040089457	-1.01227387
KP0341_LM_WP20	-9.309872882	1.153620071	-1.502075066
KP0342_LM_WP20	-9.335435135	1.028849668	-1.541757815
KP0343_LM_WP20	-9.431924994	0.978420321	-1.41660792
KP0344_LM_WP20	-9.471495292	0.59355926	-1.558660716
KP0345_LM_WP20	-9.837892509	1.041459467	-1.443657996
KP0346_AC_WP20	-9.813611908	0.790730081	-1.418462361
KP0347_AC_WP20	-9.803421711	0.342807113	-1.711304372
KP0348_LM_WP20	-9.993955111	0.500953096	-1.728907228
KP0349_LM_WP20	-10.22178193	0.549467917	-1.661026673
KP0350_LM_WP20	-10.57914738	-0.030813782	-1.881333201
KP0351_AC_WP20	-10.81868431	0.340320325	-1.279436416
KP0352_AC_WP20	-10.82114734	0.090063386	-1.310669739
KP0353_AC_WP20	-10.98082576	0.307267096	-1.238623792
KP0354_AC_WP20	-10.91500198	0.398044793	-1.362392125
KP0355_AC_WP20	-10.88643685	1.253788667	-1.113435397
KP0356_AC_WP20	-11.32356597	0.664926587	-0.802585104
KP0357_AC_WP20	-11.54177538	1.023138812	-0.84434547
KP0358_AC_WP20	-11.51530643	0.439685677	-0.851466308
KP0359_AC_WP20	-11.65984416	0.838208579	-0.754100111
KP0360_AC_WP20	-11.71365275	0.973786589	-0.803673427
KP0361_AC_WP20	-11.7728694	0.983106718	-0.822365147
KP0362_AC_WP20	-11.87503672	0.890418668	-0.812786582
KP0363_AC_WP20	-11.9119476	0.986787837	-0.944694338
KP0364_AC_WP20	-12.10610347	0.49358003	-0.509463551
KP0365_AC_WP20	-11.87788499	0.586527051	-0.646355922
KP0366_AC_WP20	-12.0644125	0.570044363	-0.707006055
KP0367_AC_WP20	-11.96714191	0.346115523	-0.517841566
KP0368_AC_WP20	-11.62885689	0.279832434	-0.767845516
KP0369_AC_WP20	-11.88354007	0.214591049	-0.838168254
KP0370_AC_WP20	-12.30881778	0.402935397	-1.107525427
KP0371_AC_WP20	-12.26303792	0.781387156	-0.935494256
KP0372_AC_WP20	-12.19091827	0.956816951	-0.829026615
KP0373_AC_WP20	-12.02569701	0.319375802	-0.845900387
KP0374_AC_WP20	-10.35766505	-0.686067451	-1.732512201
KP0375_LM_WP20	-9.546251569	-0.29542566	-1.752304349
