plot_name	sample_name	colony_points	ground_elevation	overhang_prop	outcrop_prop	environment_rugosity	colony_radius	environment_radius
SB05	KP0140_HU_SB05	198	82.57973332	0.078406334	0.324000257	1.384437445	0.016879703	0.1
WP20	KP0289_AC_WP20	2664	31.455011	0	0.743359332	1.436433379	0.085249126	0.1
WP20	KP0290_LM_WP20	3615	13.7568374	0	0.596240742	1.54321025	0.101559936	0.1
WP20	KP0291_AC_WP20	464	112.5692498	0.275766414	0.466194211	2.65781465	0.036430248	0.1
WP20	KP0292_AC_WP20	874	89.93468422	0	0.80181595	3.654288768	0.042026475	0.1
WP20	KP0293_LM_WP20	21259	33.15944289	0.005623529	0.551282361	1.653067255	0.201365218	0.1
WP20	KP0294_AC_WP20	1631	90.38234631	0.359394472	0.51732547	2.017058106	0.072092662	0.1
WP20	KP0296_AC_WP20	344	125.0853555	0	0.568505239	1.814566827	0.027384867	0.1
WP20	KP0299_AC_WP20	740	30.52994325	0	0.692598481	2.231546202	0.039084596	0.1
WP20	KP0300_AC_WP20	1071	67.52242017	0.278675248	0.67871109	2.433734882	0.040144848	0.1
WP20	KP0301_AC_WP20	338	27.42248703	0	0.501961061	2.432880966	0.034438942	0.1
WP20	KP0303_AC_WP20	1516	97.4467351	0.013532678	0.636372846	2.234469245	0.057614196	0.1
WP20	KP0304_AC_WP20	8853	96.3872564	0	0.661490855	2.431284662	0.117157139	0.1
WP20	KP0305_AC_WP20	3172	107.0639078	0	0.710822853	1.930984308	0.090841802	0.1
WP20	KP0311_AC_WP20	418	37.28588073	0	0.659071074	1.88105423	0.036375614	0.1
WP20	KP0317_AC_WP20	231	95.65634657	0	0.526492832	1.958078264	0.028740081	0.1
WP20	KP0318_LM_WP20	585	33.09422948	0.026363636	0.669282373	1.233733448	0.040168077	0.1
WP20	KP0319_LM_WP20	2804	41.80148041	0.316381032	0.34974716	1.467360647	0.082207723	0.1
WP20	KP0322_LM_WP20	34378	45.51235285	0.027713857	0.488805035	1.399270031	0.301774182	0.1
WP20	KP0323_AC_WP20	33	114.5112433	0	0.663032533	2.5772786	0.015071319	0.1
WP20	KP0324_AC_WP20	3387	95.25110016	0	0.762301717	2.745769605	0.084695315	0.1
WP20	KP0325_AC_WP20	1300	57.51811385	0.073175882	0.680812109	1.931784922	0.047099768	0.1
WP20	KP0326_AC_WP20	2331	42.79508342	0	0.822826347	1.944089314	0.070991224	0.1
WP20	KP0327_AC_WP20	4047	40.65048787	0.058054173	0.521207735	2.300644154	0.096191563	0.1
WP20	KP0328_LM_WP20	2212	47.7285936	0.021484681	0.509407719	1.583369679	0.065765295	0.1
WP20	KP0329_AC_WP20	4746	69.52997106	0.04422495	0.578710994	1.817114606	0.096745034	0.1
WP20	KP0330_LM_WP20	8968	36.87684766	0.04064336	0.544265877	2.097379752	0.129048613	0.1
WP20	KP0331_AC_WP20	3292	112.1669774	0.11315563	0.53040244	2.035390864	0.084225709	0.1
WP20	KP0332_AC_WP20	3312	50.3873396	0	0.741759008	2.499401301	0.068506105	0.1
WP20	KP0334_AC_WP20	2274	78.30445556	0.23557989	0.634218453	2.732283392	0.059932307	0.1
WP20	KP0335_AC_WP20	525	89.28905413	0	0.823088785	1.891674519	0.043311154	0.1
WP20	KP0336_AC_WP20	1049	92.47072086	0	0.846297413	1.581803498	0.048816625	0.1
WP20	KP0337_AC_WP20	1082	101.1701915	0	0.790683974	1.998063396	0.043537488	0.1
WP20	KP0340_AC_WP20	6281	52.05090216	0.047213351	0.553689164	1.641595836	0.157455789	0.1
WP20	KP0341_LM_WP20	4533	76.65051739	0.077077482	0.471084377	1.475661587	0.114100817	0.1
WP20	KP0342_LM_WP20	20736	4.498901226	0.060549726	0.4172802	1.591256331	0.239162946	0.1
WP20	KP0343_LM_WP20	4560	77.96194837	0.030123155	0.447702985	1.662387639	0.108261889	0.1
WP20	KP0345_LM_WP20	20163	123.006114	0.007997632	0.474309863	2.10066092	0.199093188	0.1
WP20	KP0346_AC_WP20	2064	132.0967961	0.001188373	0.666450423	1.944869308	0.068671136	0.1
WP20	KP0347_AC_WP20	4651	122.0909898	0.016158271	0.573592425	1.678693665	0.125019598	0.1
WP20	KP0348_LM_WP20	25073	51.10849713	0.055628376	0.523943383	1.722499281	0.23662816	0.1
WP20	KP0349_LM_WP20	40997	41.86631503	0.006559215	0.527637165	1.937962229	0.273026254	0.1
WP20	KP0350_LM_WP20	76023	131.0518583	0.081967346	0.349459168	1.80779188	0.382630162	0.1
WP20	KP0352_AC_WP20	8839	82.05950838	0	0.728935974	2.583609068	0.11104871	0.1
WP20	KP0354_AC_WP20	286	35.37997895	0.089270489	0.541096141	2.674970647	0.030967317	0.1
WP20	KP0355_AC_WP20	2774	98.99107397	0.001940567	0.676205671	2.256940334	0.073118932	0.1
WP20	KP0360_AC_WP20	829	61.95916349	0	0.617866106	1.78961615	0.056295063	0.1
WP20	KP0362_AC_WP20	700	63.10304887	0	0.822747397	1.575864916	0.051333062	0.1
